code|date|data1|data2|data3|data4|data5
KR7000370007|20120416|800|400|1200|400|1675
KR7000370007|20120417|900|193|937|40|1275
KR7000370007|20120418|400|195|716|205|1235
KR7000370007|20120419|1200|295|1074|140|2675
KR7000370007|20120420|800|194|1238|105|3675
KR7000370007|20120423|584|158|1119|180|4675
KR7000370007|20120424|416|50|1338|120|5675
KR7000370007|20120425|637|140|1115|400|6675
KR7000370007|20120426|525|270|1216|600|1775
KR7000370007|20120427|893|360|810|500|8675
KR7000370007|20120430|817|320|879|195|175
KR7000370007|20120502|1146|300|574|220|675
KR7000370007|20120503|936|208|762|140|735
KR7000370007|20120504|934|280|743|80|8675
KR7000370007|20120507|478|250|1259|40|9675
KR7000370007|20120508|1159|360|556|205|705
KR7000370007|20120509|573|270|1168|300|165
KR7000370007|20120510|823|298|867|100|1675
KR7000370007|20120511|776|193|937|400|1275
KR7000370007|20120512|986|195|716|50|1235
KR7000370007|20120513|635|295|1074|140|2675
KR7000370007|20120514|504|194|1238|215|3675
KR7000370007|20120515|584|198|1119|128|4675
KR7000370007|20120516|416|50|1338|198|5675
KR7000370007|20120517|637|140|1115|400|6675
KR7000370007|20120518|525|270|1216|600|1775
KR7000370007|20120519|893|360|810|155|8675
KR7000370007|20120520|817|307|879|195|175
KR7000370007|20120521|1146|260|574|210|675
KR7000370007|20120522|1246|160|574|120|475
KR7000370007|20120523|1146|260|974|320|475
