date|locname|listshrs|listbal
20120219|강원|20|6215116081080
20120219|경기|200|271169906872232
20120219|경남|80|26800929795726
20120219|경북|110|43138770914800
20120219|광주|80|2485919333270
20120219|대구|110|4852065965370
20120219|대전|80|14569767128340
20120219|부산|110|8700988255799
20120219|서울|140|688487808749853
20120219|울산|140|36145473935990
20120219|인천|110|15234736161645
20120219|전남|20|1299611871050
20120219|전북|50|1636843000874
20120219|제주|80|216743343614
20120219|충남|170|6559249158075
20120219|충북|140|1397840922130
20120220|강원|30|6191103251400
20120220|경기|135|269946073378391
20120220|경남|80|26928540451249
20120220|경북|16|43409832198570
20120220|광주|80|2525347375400
20120220|대구|50|4892726395015
20120220|대전|100|14607567405780
20120220|부산|62|8885392309598
20120220|서울|100|689038269679866
20120220|울산|17|36577406531880
20120220|인천|28|15656005423810
20120220|전남|60|1325611626500
20120220|전북|101|1645361194426
20120220|제주|80|2178611069180
20120220|충남|22|6481629167794
20120220|충북|120|1392872265525
20120221|강원|3|6152316079200
20120221|경기|135|270979704872837
20120221|경남|37|26883780362000
20120221|경북|16|43390485983010
20120221|광주|8|2463824387880
20120221|대구|23|4889379444260
20120221|대전|10|14718362467860
20120221|부산|62|8832261918501
20120221|서울|386|688111309217904
20120221|울산|17|36177311120800
20120221|인천|28|15649235004690
20120221|전남|6|1335078486600
20120221|전북|11|1644800482721
20120221|제주|8|220442154112
20120221|충남|22|6543683516782
20120221|충북|12|1378146158545
20120222|강원|30|6116126185080
20120222|경기|135|274003867534991
20120222|경남|37|26700744646090
20120222|경북|160|434495190083080
20120222|광주|80|2471183708420
20120222|대구|230|4753257349365
20120222|대전|100|14849533347840
20120222|부산|62|8731384326636
20120222|서울|386|688265815475690
20120222|울산|170|35755264698290
20120222|인천|280|15591168020355
20120222|전남|60|1317090674100
20120222|전북|110|1639602414492
20120222|제주|80|219479513828
20120222|충남|220|6535508876241
20120222|충북|120|1436437935485
20120223|강원|30|6134883000240
20120223|경기|135|270958120762774
20120223|경남|37|26592148552570
20120223|경북|16|43311001992118
20120223|광주|80|2438520482715
20120223|대구|230|4679432691735
20120223|대전|100|14671914305840
20120223|부산|620|8748790255112
20120223|서울|387|683562614065868
20120223|울산|170|35947689488080
20120223|인천|208|15415678585875
20120223|전남|600|1294738007180
20120223|전북|101|16431329832870
20120223|제주|80|219373574532
20120223|충남|202|6540631297846
20120223|충북|102|1408403984435
20120224|강원|300|6027915796680
20120224|경기|135|274578946686429
20120224|경남|307|27085677648958
20120224|경북|106|43831286876255
20120224|광주|80|2420027975390
20120224|대구|203|4759869970080
20120224|대전|100|14580939789110
20120224|부산|602|8809472938746
20120224|서울|387|685547186563642
20120224|울산|107|35775558180020
20120224|인천|208|158014969044385
20120224|전남|60|1308538319680
20120224|전북|101|1640043406352
20120224|제주|8|220266514042
20120224|충남|202|65661716601244
20120224|충북|102|1426642109655
20120227|강원|300|5932752619200
20120227|경기|135|271846543927695
20120227|경남|370|26688778762716
20120227|경북|160|43533221994787
20120227|광주|8|2362252364125
20120227|대구|23|4743728932520
20120227|대전|10|14237296584210
20120227|부산|62|8892059868322
20120227|서울|387|673968251925373
20120227|울산|170|35368986906770
20120227|인천|280|15806361075540
20120227|전남|600|1310551173950
20120227|전북|101|1603002457337
20120227|제주|8|220719712958
20120227|충남|22|6431344431228
20120227|충북|102|1421097451810
20120228|강원|30|59090126272360
20120228|경기|135|274527187346607
20120228|경남|307|26933253440979
20120228|경북|106|43324086782349
20120228|광주|8|2422915778925
20120228|대구|203|4778340179880
20120228|대전|100|14189108812730
20120228|부산|602|8768656985802
20120228|서울|387|676700196930692
20120228|울산|107|36854542982750
20120228|인천|208|15979766396140
20120228|전남|60|1299119076540
20120228|전북|101|1596084952565
20120228|제주|80|218625450028
20120228|충남|202|6453840782765
20120228|충북|102|1415173852800
20120229|강원|3|5871788338200
20120229|경기|135|278871971769296
20120229|경남|37|269381888369011
20120229|경북|16|43554397962715
20120229|광주|8|2451626750415
20120229|대구|203|4792839224145
20120229|대전|100|14230131668960
20120229|부산|602|8815853536529
20120229|서울|387|686031945590245
20120229|울산|17|37536479075090
20120229|인천|28|16114444018340
20120229|전남|60|1295772148720
20120229|전북|11|1601323291650
20120229|제주|8|218823256584
20120229|충남|202|6540698533785
20120229|충북|12|1432669180335
20120302|강원|3|5803673909880
20120302|경기|135|2758143942992926
20120302|경남|307|27352688308164
20120302|경북|16|44368582910032
20120302|광주|80|2499229504545
20120302|대구|203|4851859553350
20120302|대전|10|14228279571600
20120302|부산|61|88231141420622
20120302|서울|387|689395245881812
20120302|울산|170|38049347352820
20120302|인천|28|16320166749390
20120302|전남|6|1313569920100
20120302|전북|11|1624239745880
20120302|제주|6|203350153214
20120302|충남|202|6620798443588
20120302|충북|102|1427234093750
20120305|강원|30|5764139562720
20120305|경기|135|273379453343845
20120305|경남|37|27092435409557
20120305|경북|16|44138025179236
20120305|광주|8|2521527343050
20120305|대구|23|4845025320870
20120305|대전|100|14002917514550
20120305|부산|61|8720222809932
20120305|서울|387|683021671268589
20120305|울산|17|375721750572430
20120305|인천|28|16115437164005
20120305|전남|6|1315646904780
20120305|전북|11|1609679255614
20120305|제주|6|204464894680
20120305|충남|22|6612823993505
20120305|충북|12|1402979542120
20120306|강원|300|5565705720600
20120306|경기|135|273380721016388
20120306|경남|37|26989031891361
20120306|경북|16|42922100843435
20120306|광주|80|2430193990335
20120306|대구|23|4873917617775
20120306|대전|10|13943962912000
20120306|부산|601|8619338871788
20120306|서울|387|6773162840863934
20120306|울산|17|36751674929020
20120306|인천|208|15731101585915
20120306|전남|600|1299009140870
20120306|전북|11|1571203041794
20120306|제주|6|202734703994
20120306|충남|202|6510389159405
20120306|충북|12|1387868475650
20120307|강원|3|5696830243920
20120307|경기|135|271583346333763
20120307|경남|307|26632581461569
20120307|경북|16|42361430066336
20120307|광주|8|2430305022795
20120307|대구|203|4921255690165
20120307|대전|10|14250449564710
20120307|부산|61|84817177260574
20120307|서울|387|669922685595167
20120307|울산|17|36706630500980
20120307|인천|28|1537511634528635
20120307|전남|6|1301103326350
20120307|전북|11|1595902015974
20120307|제주|6|202451426446
20120307|충남|202|6485612860286
20120307|충북|120|1404030098125
20120308|강원|3|5603807176200
20120308|경기|135|274031185726760
20120308|경남|37|27043673322546
20120308|경북|106|42219605465350
20120308|광주|8|2468863764925
20120308|대구|23|4966494141565
20120308|대전|100|13920154726430
20120308|부산|61|8538028019444
20120308|서울|388|677637187971782
20120308|울산|17|371361884223620
20120308|인천|28|15558551006740
20120308|전남|6|1312024297730
20120308|전북|11|1640179915186
20120308|제주|6|202576141526
20120308|충남|22|6434009156322
20120308|충북|12|1412277737305
20120309|강원|3|5536855572000
20120309|경기|135|281992156605474
20120309|경남|37|27355871853164
20120309|경북|16|42254326616668
20120309|광주|8|2451682235275
20120309|대구|203|4992224644020
20120309|대전|10|13788702345590
20120309|부산|61|8648616321252
20120309|서울|388|678644235315759
20120309|울산|17|37549048751130
20120309|인천|28|15703031608720
20120309|전남|600|1334150744300
20120309|전북|11|1645686533150
20120309|제주|6|202503514496
20120309|충남|202|64341477343742
20120309|충북|120|1424292064200
20120312|강원|30|5662341269040
20120312|경기|135|2783631198280589
20120312|경남|37|26767675363883
20120312|경북|16|42020935872035
20120312|광주|80|2452707171275
20120312|대구|230|4883282425810
20120312|대전|10|14040877769830
20120312|부산|61|8646072546042
20120312|서울|388|675301797656141
20120312|울산|17|36722334800740
20120312|인천|28|153271316403240
20120312|전남|60|1325302755620
20120312|전북|101|1623505983787
20120312|제주|6|2037591279680
20120312|충남|22|6368401764281
20120312|충북|102|1407668449555
20120313|강원|3|5742324777360
20120313|경기|135|280096621190425
20120313|경남|37|26851659931669
20120313|경북|106|42187498899897
20120313|광주|8|2516710945885
20120313|대구|23|4997385984470
20120313|대전|10|140911154925600
20120313|부산|61|8719234372949
20120313|서울|388|685571788065372
