name|code|group|up_name|group2|group2_name|rate|gubun|flag|siga|koga|jega|close|vol|dealprice 
마니커|KR7027740000|005|음식료품|||1.14|1|5|1340|1370|1325|1330|7155214|9626198645 
CJ씨푸드|KR7011150000|005|음식료품|||1.33|1|5|3030|3110|3000|3055|738925|2250793475 
대상|KR7001680008|005|음식료품|||-0.94|2|3|9700|9760|9420|9500|268822|2568432300 
팜스코|KR7036580009|005|음식료품|||-3.59|2|3|2525|2545|2410|2420|160195|392103940 
서울식품|KR7004410007|005|음식료품|||0.24|1|5|2140|2140|2045|2100|83930|173408100 
CJ제일제당|KR7097950000|005|음식료품|||2.58|1|5|214500|219500|213500|219000|70637|15309836000 
동아원|KR7008040008|005|음식료품|||0.11|1|5|4510|4530|4440|4485|68240|305745500 
진로|KR7000080002|005|음식료품|||0.6|1|5|33500|34050|33450|33650|48279|1632557150 
우성사료|KR7006980007|005|음식료품|||0.58|1|5|1735|1765|1715|1735|43623|75446355 
삼양사|KR7000070003|005|음식료품|||0|3|4|51000|51700|49100|50600|41351|2093489700 
삼립식품|KR7005610001|005|음식료품|||-1.87|2|3|9130|9130|8800|8910|27950|248621700 
오리온|KR7001800002|005|음식료품|||2.36|1|5|373500|379000|362500|368000|25456|9430305000 
CJ씨푸드1우|KR7011151008|005|음식료품|||14.98|4|7|13650|14200|13600|14200|22090|310446000 
하이트맥주|KR7103150009|005|음식료품|||1.68|1|5|150000|152000|149500|151500|20840|3153809000 
고려산업|KR7002140002|005|음식료품|||-0.29|2|3|3465|3530|3465|3490|17379|60814060 
빙그레|KR7005180005|005|음식료품|||0|3|4|51800|53000|51700|51800|16341|854534500 
선진|KR7014300008|005|음식료품|||2.32|1|5|38750|40000|38500|39650|15216|599805400 
삼양식품|KR7003230000|005|음식료품|||2.45|1|5|18500|18900|18150|18800|13547|251328100 
동원F&B|KR7049770001|005|음식료품|||-2.19|2|3|54300|55000|52800|53600|12850|686771300 
농심|KR7004370003|005|음식료품|||1.1|1|5|227000|231000|227000|229500|10189|2343096000 
삼양제넥스|KR7003940004|005|음식료품|||0.49|1|5|61400|62600|61000|61700|10086|620390900 
톰보이|KR7012580007|006|섬유의복|||3.08|1|5|335|350|325|335|9348968|3142659600 
쌍방울트라이|KR7102280005|006|섬유의복|||0.56|1|5|880|900|765|900|6404617|5348272680 
웅진케미칼|KR7008000002|006|섬유의복|||-0.88|2|3|1150|1150|1125|1125|3881307|4410436345 
일경|KR7008540007|006|섬유의복|||-5.13|2|2|190|195|185|185|2975113|559370045 
성안|KR7011300001|006|섬유의복|||0|3|4|335|345|335|340|400980|135226200 
베이직하우스|KR7084870005|006|섬유의복|||10.57|1|7|12900|14100|12650|13600|352791|4806718550 
LG패션|KR7093050003|006|섬유의복|||1.87|1|5|26950|27800|26950|27250|245261|6693423650 
신원|KR7009270000|006|섬유의복|||0|3|4|1500|1545|1495|1515|200020|303189450 
대현|KR7016090003|006|섬유의복|||0|3|4|910|915|895|900|167605|151302050 
한섬|KR7020000006|006|섬유의복|||2.54|1|5|14000|14300|13950|14150|152916|2167448400 
VGX인터|KR7011000007|006|섬유의복|||0.32|1|5|1580|1605|1550|1575|116308|182524875 
인디에프|KR7014990006|006|섬유의복|||2|1|5|980|1035|980|1020|96160|97529900 
에리트베이직|KR7093240000|006|섬유의복|||0.4|1|5|2490|2530|2490|2500|50330|125894950 
한세실업|KR7105630008|006|섬유의복|||1.52|1|5|7250|7350|7140|7340|39612|287403480 
에프씨비투웰브|KR7005690003|006|섬유의복|||-0.28|2|3|35500|36800|35000|35000|36831|1326494500 
동일방직|KR7001530005|006|섬유의복|||0|3|4|55400|57600|55400|57600|163|9365600 
신영와코루|KR7005800008|006|섬유의복|||0.45|1|5|110000|110500|109000|110500|122|13428000 
원림|KR7005820006|006|섬유의복|||-0.49|2|3|10200|10200|10200|10200|10|102000 
한솔홈데코|KR7025750001|007|종이목재|||-0.71|2|3|1410|1430|1375|1400|2978607|4150450700 
태림포장|KR7011280005|007|종이목재|||-2.11|2|3|1430|1465|1385|1390|822598|1171913520 
한솔제지|KR7004150009|007|종이목재|||1.03|1|5|14650|14850|14400|14650|781609|11432166150 
대영포장|KR7014160006|007|종이목재|||0|3|4|420|425|420|420|551250|231532800 
세하|KR7027970003|007|종이목재|||-5.56|2|2|2260|2260|2070|2125|390232|835858450 
동일제지|KR7019300003|007|종이목재|||1.05|1|5|1450|1510|1430|1445|331070|486971150 
KGP|KR7109070003|007|종이목재|||-1.81|2|3|1380|1380|1330|1355|84190|113940300 
무림페이퍼|KR7009200007|007|종이목재|||1.43|1|5|8450|8580|8450|8540|76040|649164800 
이건산업|KR7008250003|007|종이목재|||0.22|1|5|9100|9210|9050|9120|40781|372129820 
모나리자|KR7012690004|007|종이목재|||-1.3|2|3|780|785|755|760|38060|28920300 
한국제지|KR7002300002|007|종이목재|||-2.08|2|3|33800|33900|32900|33000|24564|814138100 
한창제지|KR7009460007|007|종이목재|||0|3|4|660|670|655|660|23589|15556690 
한국콜마|KR7024720005|008|화학|||6.52|1|6|5580|6110|5500|5880|3626417|21283847370 
한화케미칼|KR7009830001|008|화학|||0.27|1|5|18900|19150|18350|18850|2428257|45353130100 
금호타이어|KR7073240004|008|화학|||11.96|1|7|3700|4210|3685|4120|1917071|7652214790 
넥센타이어|KR7002350007|008|화학|||4.06|1|5|7450|7740|7420|7690|1711238|13003502150 
